[run number];breeding-habitat-number;feeding-habitat-number;percent-specialized-bees;breeding-habitat-size;max-distance-breed;max-distance-feed;feeding-habitat-size;bee-number;min-distance-breed;min-distance-feed;[step];count specialized-bees;count bees - count specialized-bees;count bees;count crops;count wildflowers;count flowers with [color = cyan];count flowers;sum [seeds] of crops;count agriculture;count feeding-habitat;count breeding-habitat
1265;3;5;0.5;1;1;1;3;10;5;3;2199;2;32;34;25507;450;435;25957;2325;2553;45;3
1266;3;5;0.5;1;1;1;3;10;5;3;2199;3;27;30;25605;360;352;25965;1919;2562;36;3
1263;3;5;0.5;1;1;1;3;10;5;1;2199;14;20;34;25788;180;172;25968;1496;2580;18;3
1267;3;5;0.5;1;1;1;3;10;5;5;2199;9;17;26;25501;450;431;25951;1268;2553;45;3
1269;3;5;0.5;1;1;1;3;10;5;5;2199;6;22;28;25508;450;445;25958;1639;2553;45;3
1268;3;5;0.5;1;1;1;3;10;5;5;2199;21;10;31;25598;360;349;25958;781;2562;36;3
1273;3;5;0.5;1;1;1;5;10;1;3;2199;3;21;24;25214;722;647;25936;1348;2523;75;3
1270;3;5;0.5;1;1;1;5;10;1;1;2199;15;16;31;24695;1126;1091;25821;907;2473;125;3
1272;3;5;0.5;1;1;1;5;10;1;1;2199;11;25;36;24963;905;845;25868;1364;2498;100;3
1271;3;5;0.5;1;1;1;5;10;1;1;2199;15;12;27;24709;845;768;25554;722;2473;125;3
1278;3;5;0.5;1;1;1;5;10;1;5;2199;13;24;37;24948;998;966;25946;1541;2498;100;3
1274;3;5;0.5;1;1;1;5;10;1;3;2199;15;17;32;24704;1199;1170;25903;1051;2473;125;3
1280;3;5;0.5;1;1;1;5;10;3;1;2199;0;21;21;24715;818;723;25533;1343;2473;125;3
1275;3;5;0.5;1;1;1;5;10;1;3;2199;2;32;34;24720;1166;1097;25886;1954;2473;125;3
1277;3;5;0.5;1;1;1;5;10;1;5;2199;18;19;37;24965;965;892;25930;1216;2498;100;3
1276;3;5;0.5;1;1;1;5;10;1;5;2199;9;27;36;24958;998;975;25956;1787;2498;100;3
1279;3;5;0.5;1;1;1;5;10;3;1;2199;20;22;42;24706;1049;997;25755;1259;2473;125;3
1281;3;5;0.5;1;1;1;5;10;3;1;2199;4;28;32;24708;1134;1091;25842;1808;2473;125;3
1284;3;5;0.5;1;1;1;5;10;3;3;2199;4;17;21;24965;969;926;25934;1113;2498;100;3
1282;3;5;0.5;1;1;1;5;10;3;3;2199;10;23;33;24706;1165;1129;25871;1561;2473;125;3
1285;3;5;0.5;1;1;1;5;10;3;5;2199;12;25;37;24723;1212;1162;25935;1721;2473;125;3
1289;3;5;0.5;1;1;1;5;10;5;1;2199;0;17;17;24710;886;795;25596;982;2473;125;3
